Year,Month,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp
1983,5,2.556,345.96,1638.59,303.677,191.324,350.113,1366.1024,0.0863,0.109
1983,6,2.167,345.52,1633.71,303.746,192.057,351.848,1366.1208,0.0794,0.118
1983,7,1.741,344.15,1633.22,303.795,192.818,353.725,1366.285,0.0731,0.137
1983,8,1.13,342.25,1631.35,303.839,193.602,355.633,1366.4202,0.0673,0.176
1983,9,0.428,340.17,1648.4,303.901,194.392,357.465,1366.2335,0.0619,0.149
1983,10,0.002,340.3,1663.79,303.97,195.171,359.174,1366.0589,0.0569,0.093
1983,11,-0.176,341.53,1658.23,304.032,195.921,360.758,1366.1072,0.0524,0.232
1983,12,-0.176,343.07,1654.31,304.082,196.609,362.174,1366.0607,0.0486,0.078
1984,1,-0.339,344.05,1658.98,304.13,197.219,363.359,1365.4261,0.0451,0.089
1984,2,-0.565,344.77,1656.48,304.194,197.759,364.296,1365.6618,0.0416,0.013
1984,3,0.131,345.46,1655.77,304.285,198.249,365.044,1366.1697,0.0383,0.049
1984,4,0.331,346.77,1657.68,304.389,198.723,365.692,1365.566,0.0352,-0.019
1984,5,0.121,347.55,1649.33,304.489,199.233,366.317,1365.7783,0.0324,0.065
1984,6,-0.142,346.98,1634.13,304.593,199.858,367.029,1366.0956,0.0302,-0.016
1984,7,-0.138,345.55,1629.89,304.722,200.671,367.893,1366.1145,0.0282,-0.024
1984,8,-0.179,343.2,1643.67,304.871,201.71,368.843,1365.9781,0.026,0.034
1984,9,-0.082,341.35,1663.6,305.021,202.972,369.8,1365.8669,0.0239,0.025
1984,10,0.016,341.68,1674.65,305.158,204.407,370.782,1365.7869,0.022,-0.035
1984,11,-0.351,343.06,1677.1,305.263,205.893,371.77,1365.6802,0.0202,-0.123
1984,12,-0.611,344.54,1672.15,305.313,207.308,372.701,1365.7617,0.0188,-0.282
1985,1,-0.561,345.25,1663.42,305.301,208.537,373.623,1365.6082,0.0164,-0.001
1985,2,-0.602,346.06,1666.21,305.243,209.543,374.681,1365.7085,0.016,-0.155
1985,3,-0.737,347.66,1678.34,305.165,210.368,376.004,1365.657,0.0141,-0.032
1985,4,-0.484,348.2,1675.24,305.093,211.111,377.635,1365.512,0.0138,-0.042
1985,5,-0.731,348.92,1666.83,305.045,211.823,379.539,1365.6366,0.0128,0.001
1985,6,-0.086,348.4,1659.4,305.027,212.512,381.642,1365.6964,0.0126,-0.049
1985,7,-0.156,346.66,1654.25,305.049,213.165,383.905,1365.6509,0.0121,-0.042
1985,8,-0.392,344.85,1654.41,305.126,213.803,386.223,1365.7499,0.0116,0.013
1985,9,-0.541,343.2,1668.31,305.25,214.501,388.5,1365.6653,0.0102,-0.035
1985,10,-0.14,343.08,1681.56,305.395,215.327,390.676,1365.5269,0.0101,-0.008
1985,11,-0.05,344.4,1680.68,305.53,216.282,392.714,1365.6289,0.0097,-0.093
1985,12,-0.293,345.82,1677.99,305.653,217.326,394.539,1365.6794,0.0122,-0.002
1986,1,-0.307,346.54,1675.82,305.775,218.382,396.082,1365.6746,0.0146,0.121
1986,2,-0.191,347.13,1666.83,305.911,219.379,397.345,1365.5475,0.0158,0.065
1986,3,0.033,348.05,1672.87,306.055,220.315,398.41,1365.6797,0.0144,0.049
1986,4,-0.169,349.77,1688.51,306.201,221.245,399.398,1365.6531,0.0147,0.045
1986,5,0.305,350.53,1686.02,306.351,222.197,400.393,1365.7275,0.014,0.023
1986,6,0.311,349.9,1685.06,306.512,223.189,401.487,1365.6615,0.013,0.055
1986,7,0.384,348.11,1682.79,306.672,224.236,402.711,1365.6509,0.0128,0.004
1986,8,0.804,346.09,1670.57,306.8,225.302,404.06,1365.5989,0.014,-0.001
1986,9,1.166,345.01,1680.44,306.867,226.343,405.584,1365.6034,0.0126,0.016
1986,10,0.996,344.47,1691.19,306.86,227.325,407.328,1365.6465,0.0126,0.043
1986,11,0.872,345.86,1692.49,306.779,228.224,409.211,1365.7097,0.0123,-0.033
1986,12,1.183,347.15,1698.08,306.612,229.058,411.112,1365.6717,0.012,0.022
1987,1,1.237,348.38,1692.74,306.368,229.846,412.92,1365.6674,0.0118,0.116
1987,2,1.185,348.7,1690.41,306.083,230.592,414.572,1365.659,0.0111,0.266
1987,3,1.724,349.72,1695.08,305.812,231.325,416.063,1365.6693,0.0109,0.021
1987,4,1.865,351.32,1696.18,305.433,232.098,417.549,1365.6385,0.0104,0.084
1987,5,2.122,352.14,1694.75,305.542,232.939,418.723,1365.7561,0.0101,0.145
1987,6,1.904,351.61,1687.78,305.865,233.798,420.222,1365.8307,0.0105,0.121
1987,7,1.847,349.91,1681.24,306.138,234.778,422.707,1365.8223,0.0108,0.238
1987,8,1.951,347.84,1678.77,306.095,235.789,426.191,1365.786,0.0108,0.219
1987,9,1.835,346.52,1681.62,306.178,237.075,428.871,1365.857,0.0104,0.25
1987,10,1.61,346.65,1701.48,306.252,238.697,431.542,1365.8508,0.0094,0.174
1987,11,1.253,347.96,1716.57,306.393,239.588,433.915,1365.9837,0.0089,0.186
1987,12,1.251,349.18,1708.14,306.503,240.058,436,1366.035,0.0089,0.314
1988,1,1.092,350.38,1698.29,306.636,241.155,438.296,1366.0546,0.0085,0.334
1988,2,0.665,351.68,1701.18,306.699,242.064,440.937,1366.1079,0.0088,0.189
1988,3,0.456,352.24,1706.09,306.638,243.44,442.755,1365.9519,0.0078,0.248
1988,4,0.307,353.66,1708.18,306.581,244.954,443.846,1366.0642,0.0074,0.224
1988,5,0.085,354.18,1705.69,306.472,246.043,444.729,1366.3008,0.0071,0.175
1988,6,-0.71,353.68,1699.06,306.379,246.338,445.352,1366.0132,0.0071,0.2
1988,7,-1.174,352.58,1687.9,306.468,247.245,447.106,1365.8269,0.008,0.168
1988,8,-1.374,350.66,1691.77,306.522,248.187,449.005,1366.1451,0.0096,0.154
1988,9,-1.586,349.03,1701.35,306.611,249.389,451.255,1366.4616,0.0069,0.149
1988,10,-1.35,349.08,1708.91,306.938,250.566,453.848,1366.1118,0.0065,0.12
1988,11,-1.468,350.15,1719.88,307.274,251.664,456.226,1366.2957,0.0068,0.027
1988,12,-1.343,351.44,1726.35,307.446,252.345,458.194,1366.2598,0.0068,0.106
1989,1,-1.166,352.89,1721.48,307.609,252.554,459.549,1366.5409,0.0072,0.019
1989,2,-1.312,353.24,1713.25,307.78,252.79,460.408,1366.599,0.0064,0.094
1989,3,-1.056,353.8,1715.68,307.747,253.161,461.292,1366.3758,0.0062,0.088
1989,4,-0.842,355.59,1724.08,307.662,253.623,462.96,1366.5902,0.006,0.083
1989,5,-0.488,355.89,1724.93,307.614,253.699,463.964,1366.7788,0.0047,0.073
1989,6,-0.273,355.3,1713.8,307.642,253.793,464.605,1366.3298,0.0057,0.094
1989,7,-0.454,353.98,1700.53,307.704,254.315,466.046,1367.0685,0.0067,0.167
1989,8,-0.501,351.53,1707.22,307.83,255.528,468.631,1366.5084,0.0083,0.168
1989,9,-0.28,350.02,1721.44,307.993,256.719,470.907,1366.2616,0.0062,0.135
1989,10,-0.318,350.29,1722.42,308.151,257.946,472.912,1366.9553,0.0054,0.145
1989,11,-0.066,351.44,1726.21,308.389,258.73,474.245,1366.8248,0.0055,0.067
1989,12,0.142,352.84,1730.61,308.558,259.472,475.63,1366.8784,0.0054,0.181
1990,1,0.234,353.79,1727.9,308.651,259.917,476.396,1366.8759,0.0059,0.187
1990,2,0.532,354.88,1728.43,308.67,260.525,477.152,1366.6353,0.0074,0.242
1990,3,0.916,355.65,1733.82,308.703,260.594,477.409,1366.6447,0.0062,0.442
1990,4,0.393,356.28,1737.49,308.601,260.604,478.259,1366.8675,0.0044,0.285
1990,5,0.593,357.29,1734.47,308.564,260.699,479.174,1366.531,0.0044,0.231
1990,6,0.389,356.32,1722.26,308.46,261.138,480.57,1366.7708,0.006,0.233
1990,7,0.084,354.89,1712.71,308.411,261.594,481.251,1366.4602,0.0073,0.196
1990,8,0.123,352.89,1717.93,308.496,262.342,482.685,1366.1691,0.0074,0.227
1990,9,0.376,351.28,1733.81,308.718,263.107,484.643,1366.8029,0.0068,0.179
1990,10,0.241,351.59,1736.9,308.879,263.616,486.334,1366.6147,0.0058,0.271
1990,11,0.372,353.05,1741.42,309.072,264.455,487.528,1365.8518,0.006,0.278
1990,12,0.335,354.27,1749.58,309.227,265.182,488.674,1366.387,0.006,0.199
1991,1,0.309,354.87,1734.82,309.404,265.709,489.664,1366.0527,0.006,0.224
1991,2,0.31,355.68,1730.98,309.528,266.008,490.433,1366.3072,0.0057,0.272
1991,3,0.393,357.06,1746.52,309.467,265.86,491.114,1366.524,0.0055,0.161
1991,4,0.444,358.51,1749.54,309.381,265.876,491.634,1367.0578,0.0053,0.299
1991,5,0.719,359.09,1747.24,309.093,265.784,491.15,1366.426,0.0053,0.249
1991,6,1.163,358.1,1739.98,308.954,267.329,492.105,1366.4313,0.0179,0.269
1991,7,1.011,356.12,1730.94,308.789,267.25,493.348,1366.6668,0.0377,0.271
1991,8,1.012,353.89,1721.95,309.009,266.54,493.929,1366.4562,0.071,0.225
1991,9,0.737,352.3,1734.55,309.365,265.986,495.096,1366.8856,0.0964,0.176
1991,10,1.017,352.32,1751.75,309.527,266.846,496.798,1366.1477,0.1197,0.133
1991,11,1.202,353.79,1750.27,309.72,267.752,497.967,1366.6227,0.138,0.079
1991,12,1.32,355.07,1752.37,310.254,267.859,498.083,1365.9437,0.1385,0.084
1992,1,1.75,356.17,1755.57,310.48,268.05,499.467,1366.5226,0.1483,0.266
1992,2,1.871,356.93,1750.02,310.128,268.274,501.644,1366.4271,0.1494,0.25
1992,3,1.992,357.82,1752.39,309.69,268.477,502.436,1366.7462,0.1428,0.199
1992,4,2.271,359,1753.24,309.508,268.387,502.811,1366.5951,0.1386,0.132
1992,5,2.13,359.55,1744.48,309.383,268.65,504.226,1366.4173,0.1379,0.125
1992,6,1.714,359.32,1743.3,309.392,269.014,505.101,1366.2973,0.1265,0.118
1992,7,0.946,356.85,1736.28,309.687,269.483,505.671,1366.0569,0.1228,-0.008
1992,8,0.536,354.91,1725.65,309.985,269.912,507.207,1366.0305,0.1141,-0.007
1992,9,0.512,352.93,1729.78,310.229,270.497,508.52,1366.1615,0.1044,-0.062
1992,10,0.669,353.31,1740.76,310.252,270.765,508.614,1365.9202,0.0978,-0.072
1992,11,0.602,354.27,1755.29,310.216,270.886,508.737,1366.1329,0.0918,-0.097
1992,12,0.644,355.53,1758.32,310.293,271.057,509.265,1366.2845,0.0793,0.007
1993,1,0.699,356.86,1747.82,310.397,271.193,509.232,1366.3025,0.0743,0.204
1993,2,0.999,357.27,1745.64,310.344,270.814,509.287,1365.8985,0.0661,0.161
1993,3,0.979,358.36,1747.95,310.167,270.154,509.218,1366.209,0.0608,0.202
1993,4,1.388,359.27,1746.7,310.129,269.914,509.453,1366.1796,0.0559,0.121
1993,5,1.987,360.19,1749.5,310.008,270.53,510.264,1366.1425,0.0525,0.158
1993,6,1.459,359.52,1745.54,310.073,270.92,511.74,1366.1398,0.0482,0.122
1993,7,1.09,357.42,1731.92,310.357,270.46,513.309,1366.0917,0.0445,0.088
1993,8,1.003,355.46,1731.93,310.242,270.194,513.715,1366.0459,0.0425,0.06
1993,9,0.982,354.1,1744.46,309.942,270.685,513.455,1365.8892,0.0394,0.013
1993,10,1.059,354.12,1760.21,310.217,271.216,513.602,1365.7272,0.0376,0.061
1993,11,0.822,355.4,1767.99,310.429,271.339,514.557,1365.7575,0.035,-0.041
1993,12,0.562,356.84,1763.5,310.091,271.494,514.616,1365.9086,0.0312,0.111
1994,1,0.338,358.22,1759.84,309.951,271.238,514.991,1365.7375,0.0285,0.16
1994,2,0.192,358.98,1752.06,310.144,270.9,515.387,1365.9885,0.0265,-0.072
1994,3,0.159,359.91,1754.63,310.03,270.676,515.302,1366.0304,0.0238,0.176
1994,4,0.423,361.32,1763.75,310.089,270.924,515.243,1365.8642,0.0218,0.173
1994,5,0.521,361.68,1755.04,310.157,270.691,515.523,1365.7634,0.0205,0.218
1994,6,0.734,360.8,1746.61,310.162,270.516,516.232,1365.764,0.0185,0.191
1994,7,0.823,359.39,1737.42,310.089,270.85,517.172,1365.7607,0.0179,0.141
1994,8,0.743,357.42,1733.9,310.216,271.228,517.716,1365.7771,0.0173,0.175
1994,9,0.88,355.63,1757.14,310.526,271.042,518.274,1365.6473,0.0161,0.156
1994,10,1.433,356.09,1778.6,310.813,270.928,519.545,1365.7159,0.0166,0.23
1994,11,1.278,357.56,1781.02,310.914,271.087,520.879,1365.8294,0.0159,0.248
1994,12,1.184,358.87,1779.12,310.947,270.807,521.311,1365.7053,0.016,0.227
1995,1,1.2,359.87,1764.33,311.115,270.435,521.54,1365.825,0.012,0.349
1995,2,0.961,360.79,1756.89,311.216,270.304,521.752,1365.8141,0.0117,0.449
1995,3,0.862,361.77,1764.65,311.124,270.098,522.426,1365.7192,0.0109,0.286
1995,4,0.419,363.23,1762.72,310.918,269.861,523.229,1365.6222,0.01,0.229
1995,5,0.494,363.77,1761.94,310.824,269.941,523.768,1365.6586,0.01,0.176
1995,6,0.454,363.22,1759.03,310.871,269.873,523.966,1365.7249,0.0093,0.283
1995,7,0.182,361.7,1749.21,310.713,269.636,524.878,1365.696,0.0094,0.276
1995,8,-0.197,359.11,1750.94,310.697,269.661,525.647,1365.715,0.0087,0.305
1995,9,-0.468,358.11,1761.26,310.828,269.792,525.989,1365.6943,0.0085,0.21
1995,10,-0.487,357.97,1768.73,311.156,269.799,526.535,1365.603,0.0088,0.241
1995,11,-0.495,359.4,1768.11,311.282,269.967,527.047,1365.6735,0.0086,0.266
1995,12,-0.559,360.61,1772.75,311.428,269.981,527.476,1365.6402,0.0077,0.163
1996,1,-0.644,362.04,1771.15,311.62,269.579,528.077,1365.6409,0.0074,0.069
1996,2,-0.595,363.17,1770.25,311.83,269.384,528.897,1365.6254,0.0072,0.246
1996,3,-0.264,364.17,1769.7,311.828,269.482,528.589,1365.5815,0.0068,0.13
1996,4,-0.505,364.51,1758.89,311.711,269.61,528.263,1365.6076,0.0063,0.097
1996,5,-0.178,365.16,1754.78,311.533,269.456,528.449,1365.6243,0.0067,0.177
1996,6,-0.001,364.93,1753.6,311.478,269.163,528.67,1365.6256,0.006,0.159
1996,7,-0.208,363.53,1747.03,311.481,268.803,528.804,1365.5968,0.0066,0.177
1996,8,-0.396,361.38,1745.36,311.66,268.982,529.492,1365.6629,0.0062,0.178
1996,9,-0.499,359.6,1766.96,311.739,268.964,530.227,1365.6787,0.0059,0.093
1996,10,-0.387,359.54,1774.5,311.85,268.728,530.837,1365.6315,0.0064,0.089
1996,11,-0.161,360.84,1769.75,312.03,268.673,531.628,1365.4708,0.0064,0.077
1996,12,-0.338,362.18,1772.83,312.358,268.872,532.22,1365.6994,0.0061,0.172
1997,1,-0.487,363.04,1769.9,312.408,268.715,532.302,1365.6956,0.006,0.156
1997,2,-0.607,364.09,1768.98,312.461,268.491,532.387,1365.6713,0.0057,0.247
1997,3,-0.254,364.47,1776.07,312.584,268.388,532.452,1365.6975,0.0053,0.262
1997,4,0.493,366.25,1780.96,312.652,268.151,532.257,1365.7013,0.0052,0.201
1997,5,1.119,366.69,1776.67,312.519,268.078,532.311,1365.7356,0.0055,0.254
1997,6,2.307,365.59,1768.27,312.568,268.026,532.575,1365.7267,0.005,0.367
1997,7,2.756,364.34,1751.61,312.647,267.784,532.827,1365.7217,0.0054,0.372
1997,8,3.001,362.2,1750.23,312.702,267.441,533.315,1365.7823,0.0051,0.406
1997,9,3,360.31,1775.56,312.845,267.414,534.415,1365.6734,0.0053,0.457
1997,10,2.358,360.71,1784.8,313.025,267.469,535.205,1365.9298,0.0051,0.485
1997,11,2.518,362.44,1783.94,313.032,267.495,535.405,1365.842,0.0047,0.449
1997,12,2.32,364.33,1783.14,313.223,267.368,535.373,1365.8847,0.0043,0.526
1998,1,2.483,365.18,1772.15,313.46,267.19,535.465,1365.9594,0.004,0.486
1998,2,2.777,365.98,1766.01,313.512,266.978,535.561,1365.9166,0.0037,0.739
1998,3,2.748,367.13,1774.54,313.346,266.593,535.421,1365.8236,0.0034,0.52
1998,4,2.673,368.61,1780.3,313.24,266.054,535.409,1366.0897,0.0031,0.608
1998,5,2.169,369.49,1781.02,313.26,265.841,535.766,1365.9614,0.0029,0.57
1998,6,1.129,368.95,1779,313.419,265.668,536.123,1366.0544,0.0027,0.579
1998,7,0.285,367.74,1762.46,313.542,265.787,536.151,1366.2444,0.0025,0.651
1998,8,-0.41,365.79,1757.06,313.619,265.784,536.489,1366.086,0.0024,0.616
1998,9,-0.667,364.01,1771.02,313.7,265.911,537.326,1366.0766,0.0023,0.4
1998,10,-0.849,364.35,1787.32,313.89,266.395,538.583,1366.3395,0.0022,0.409
1998,11,-1.17,365.52,1798.26,314.201,266.352,538.473,1366.2555,0.0022,0.342
1998,12,-1.012,367.08,1802.92,314.504,266.247,538.66,1366.3697,0.0022,0.424
1999,1,-1.149,368.12,1796.25,314.589,266.016,538.872,1366.4773,0.0022,0.366
1999,2,-1.238,368.98,1784.64,314.571,265.701,538.971,1366.2395,0.0022,0.54
1999,3,-1.068,369.6,1788.08,314.444,265.343,539.005,1366.3539,0.0021,0.29
1999,4,-1.022,370.96,1788.27,314.324,265.111,538.895,1366.2515,0.0021,0.322
1999,5,-0.681,370.77,1773.11,314.381,264.811,539.015,1366.3802,0.0021,0.248
1999,6,-0.42,370.33,1771.39,314.436,264.479,538.912,1366.395,0.0021,0.266
1999,7,-0.465,369.28,1767.43,314.479,264.296,539.103,1366.4328,0.0021,0.282
1999,8,-0.787,366.86,1768.99,314.559,264.182,539.311,1366.4732,0.0021,0.253
1999,9,-1.004,364.94,1786.22,314.716,264.14,539.685,1366.5807,0.0021,0.274
1999,10,-1.011,365.35,1794.88,314.858,264.181,539.952,1366.2295,0.0021,0.241
1999,11,-1.079,366.68,1796.88,315.006,264.266,540.312,1366.3525,0.0021,0.223
1999,12,-1.207,368.04,1802.26,315.081,264.212,540.749,1366.3697,0.0021,0.338
2000,1,-1.197,369.25,1802.45,315.169,264.074,541.045,1366.7211,0.0021,0.212
2000,2,-1.246,369.5,1794.21,315.148,263.832,540.971,1366.632,0.0021,0.363
2000,3,-1.138,370.56,1792.32,315.162,263.473,540.729,1366.4819,0.0021,0.334
2000,4,-0.521,371.82,1787.23,315.201,263.068,541.073,1366.6498,0.0021,0.446
2000,5,0.157,371.51,1774.19,315.434,262.655,541.342,1366.3611,0.0021,0.271
2000,6,-0.15,371.71,1772.71,315.611,262.417,541.652,1366.4507,0.0021,0.252
2000,7,-0.201,369.85,1769.87,315.82,262.444,541.745,1366.5754,0.0021,0.261
2000,8,-0.14,368.2,1762.4,315.877,262.428,541.777,1366.9738,0.0021,0.338
2000,9,-0.247,366.91,1774.22,315.929,262.365,541.898,1366.5276,0.0021,0.309
2000,10,-0.381,366.99,1797.37,316.014,262.407,542.279,1366.9746,0.0021,0.213
2000,11,-0.755,368.33,1799.06,316.133,262.448,542.379,1366.9062,0.0021,0.159
2000,12,-0.581,369.67,1791.13,316.215,262.356,542.388,1366.9492,0.0021,0.179
2001,1,-0.539,370.52,1789.56,316.264,262.207,542.493,1366.7811,0.0021,0.329
2001,2,-0.717,371.49,1793.7,316.268,261.978,542.613,1366.8458,0.0021,0.289
2001,3,-0.607,372.53,1801.51,316.163,261.612,542.323,1366.4121,0.0021,0.475
2001,4,-0.146,373.37,1797.89,316.128,261.27,542.068,1366.4659,0.0021,0.426
2001,5,0.185,373.82,1783.63,316.046,261.019,542.003,1366.52,0.0021,0.399
2001,6,-0.076,373.18,1773.87,316.087,260.816,542.143,1366.5092,0.0021,0.416
2001,7,0.253,371.57,1769.8,316.159,260.612,542.092,1366.7203,0.0021,0.452
2001,8,0.367,369.63,1765.16,316.233,260.4,542.131,1366.4475,0.0021,0.498
2001,9,-0.126,368.16,1780.4,316.324,260.311,542.279,1366.301,0.0021,0.405
2001,10,-0.276,368.42,1791.44,316.51,260.355,542.802,1366.814,0.0021,0.378
2001,11,-0.18,369.69,1793.55,316.729,260.434,543.226,1366.52,0.0021,0.491
2001,12,0.003,371.18,1796.58,316.883,260.432,543.419,1366.891,0.0022,0.323
2002,1,-0.05,372.45,1787.94,316.967,260.392,543.501,1367.3162,0.0021,0.568
2002,2,-0.21,373.14,1783.38,317.009,260.284,543.813,1367.1783,0.0021,0.593
2002,3,-0.201,373.93,1786.67,316.969,260.008,543.473,1367.0065,0.002,0.586
2002,4,0.339,375,1782.47,316.882,259.574,543.165,1366.6454,0.002,0.443
2002,5,0.778,375.65,1778.81,316.806,259.153,543.053,1366.647,0.0019,0.432
2002,6,0.853,375.5,1775.11,316.849,258.797,543.279,1366.6873,0.0019,0.455
2002,7,0.596,374,1766.96,316.874,258.6,543.181,1366.1716,0.0016,0.462
2002,8,0.922,371.83,1766.58,316.9,258.399,542.882,1366.3053,0.0021,0.417
2002,9,0.808,370.66,1780.92,317.015,258.269,543.078,1366.4584,0.0022,0.413
2002,10,0.952,370.51,1796,317.133,258.274,543.472,1366.5261,0.0022,0.362
2002,11,1.059,372.2,1801.67,317.234,258.289,543.647,1366.4495,0.0024,0.397
2002,12,1.11,373.71,1793.14,317.214,257.956,543.383,1366.7773,0.0026,0.326
2003,1,1.184,374.87,1786.46,317.207,257.416,543.113,1366.6034,0.0028,0.514
2003,2,0.927,375.62,1792.28,317.268,257.107,543.032,1366.5458,0.0028,0.427
2003,3,0.819,376.48,1797.44,317.403,256.985,543.149,1366.1968,0.0026,0.418
2003,4,0.308,377.74,1795.5,317.555,256.724,543.028,1366.2227,0.0026,0.408
2003,5,0.048,378.5,1787.39,317.556,256.395,542.513,1366.1753,0.0025,0.439
2003,6,0.026,378.18,1791.12,317.558,256.239,542.162,1366.0914,0.0025,0.437
2003,7,0.089,376.72,1785.91,317.604,256.118,542.208,1366.2437,0.0026,0.457
2003,8,0.241,374.32,1773.56,317.703,255.889,542.529,1366.2744,0.0028,0.514
2003,9,0.441,373.2,1788.75,317.796,255.641,542.719,1366.3611,0.0029,0.499
2003,10,0.509,373.1,1806.62,317.95,255.573,542.935,1365.5612,0.0028,0.55
2003,11,0.519,374.64,1808.15,318.08,255.679,543.166,1366.1956,0.0028,0.419
2003,12,0.315,375.93,1795.07,318.129,255.522,543.199,1366.2899,0.0027,0.519
2004,1,0.308,377,1790.34,318.193,255.276,543.133,1366.1038,0.0025,0.496
2004,2,0.33,377.87,1798.45,318.188,255.018,543.039,1366.089,0.0024,0.56
2004,3,-0.125,378.73,1807.48,318.198,254.712,543.008,1366.1272,0.0024,0.501
2004,4,0.216,380.41,1806.05,318.13,254.385,542.685,1366.1742,0.0024,0.484
2004,5,0.47,380.63,1788.24,318.101,254.176,542.361,1366.0297,0.0022,0.323
2004,6,0.17,379.56,1780.35,318.074,253.87,542.098,1366.0179,0.0022,0.35
2004,7,0.472,377.61,1775.16,318.131,253.59,541.999,1365.7578,0.0023,0.38
2004,8,0.669,376.15,1770.29,318.236,253.44,541.864,1365.9036,0.0025,0.418
2004,9,0.524,374.11,1778.7,318.314,253.211,541.798,1366.0957,0.0025,0.442
2004,10,0.467,374.44,1791.29,318.476,252.899,542.317,1366.1166,0.0025,0.468
2004,11,0.786,375.93,1801.03,318.648,252.783,542.474,1366.0057,0.0025,0.521
2004,12,0.643,377.45,1797.24,318.825,252.754,542.172,1366.1552,0.0027,0.381
2005,1,0.301,378.47,1789.02,318.858,252.659,541.892,1365.7864,0.0029,0.452
2005,2,0.799,379.76,1796.63,318.864,252.479,542.021,1365.9349,0.0031,0.364
2005,3,1.018,381.14,1803.37,318.866,252.271,542.044,1365.8956,0.0034,0.493
2005,4,0.559,382.2,1791.84,318.866,251.965,541.74,1365.88,0.0035,0.53
2005,5,0.756,382.47,1781.36,318.866,251.676,541.332,1365.8463,0.0034,0.476
2005,6,0.487,382.2,1780.6,318.847,251.511,540.979,1365.8059,0.0033,0.506
2005,7,0.492,380.78,1771.92,318.861,251.306,540.964,1365.8595,0.0033,0.532
2005,8,0.321,378.73,1766.98,318.933,251.077,540.978,1365.9275,0.0036,0.502
2005,9,0.255,376.66,1787.78,319.108,250.998,541.206,1365.7988,0.0037,0.498
2005,10,-0.166,376.98,1806.71,319.299,251.021,541.44,1365.886,0.0037,0.495
2005,11,-0.407,378.29,1803.68,319.525,251.048,541.756,1365.7792,0.0037,0.478
2005,12,-0.585,379.92,1798.89,319.688,250.989,541.799,1365.8549,0.0036,0.366
2006,1,-0.471,381.35,1795.03,319.826,250.771,541.627,1365.8986,0.0034,0.32
2006,2,-0.455,382.16,1786.41,319.947,250.484,541.273,1365.8728,0.0033,0.435
2006,3,-0.591,382.66,1786.77,319.902,250.155,540.952,1365.785,0.0032,0.38
2006,4,-0.688,384.73,1801.19,319.815,249.989,540.741,1365.8058,0.0032,0.378
2006,5,-0.036,384.98,1798.85,319.848,249.839,540.456,1365.923,0.003,0.352
2006,6,0.563,384.09,1780.21,319.882,249.614,539.999,1365.834,0.0033,0.442
2006,7,0.628,382.38,1765.95,319.872,249.247,539.725,1365.8212,0.0038,0.456
2006,8,0.759,380.45,1762.66,319.93,248.981,539.682,1365.7067,0.0041,0.482
2006,9,0.793,378.92,1776.04,320.01,248.775,539.566,1365.8419,0.0043,0.425
2006,10,0.892,379.16,1789.02,320.125,248.666,539.488,1365.827,0.0044,0.472
2006,11,1.292,380.18,1791.91,320.321,248.605,539.5,1365.7039,0.0049,0.44
2006,12,0.951,381.79,1795.04,320.451,248.48,539.377,1365.7087,0.0054,0.518
2007,1,0.974,382.93,1799.66,320.561,248.372,539.206,1365.7173,0.0054,0.601
2007,2,0.51,383.81,1803.08,320.571,248.264,538.973,1365.7145,0.0051,0.498
2007,3,0.074,384.56,1803.1,320.548,247.997,538.811,1365.7544,0.0045,0.435
2007,4,-0.049,386.4,1802.11,320.518,247.574,538.586,1365.7228,0.0045,0.466
2007,5,0.183,386.58,1795.65,320.445,247.224,538.13,1365.6932,0.0041,0.372
2007,6,-0.358,386.05,1781.81,320.332,246.881,537.376,1365.7616,0.004,0.382
2007,7,-0.29,384.49,1771.89,320.349,246.497,537.113,1365.7506,0.004,0.394
2007,8,-0.44,382,1779.38,320.471,246.307,537.125,1365.7566,0.0041,0.358
2007,9,-1.162,380.9,1794.21,320.618,246.214,537.281,1365.7159,0.0042,0.402
2007,10,-1.142,381.14,1802.38,320.855,246.189,537.38,1365.7388,0.0041,0.362
2007,11,-1.177,382.42,1803.79,321.062,246.178,537.319,1365.668,0.0042,0.266
2007,12,-1.168,383.89,1805.58,321.217,246.261,537.052,1365.6927,0.004,0.226
2008,1,-1.011,385.44,1809.92,321.328,246.183,536.876,1365.7163,0.0038,0.074
2008,2,-1.402,385.73,1803.45,321.345,245.898,536.484,1365.7366,0.0036,0.198
2008,3,-1.635,385.97,1792.84,321.295,245.43,535.979,1365.6726,0.0034,0.447
2008,4,-0.942,387.16,1792.57,321.354,245.086,535.648,1365.7146,0.0033,0.278
2008,5,-0.355,388.5,1796.43,321.42,244.914,535.399,1365.7175,0.0031,0.283
2008,6,0.128,387.88,1791.8,321.447,244.676,535.128,1365.673,0.0031,0.315
2008,7,0.003,386.42,1782.93,321.372,244.434,535.026,1365.672,0.0033,0.406
2008,8,-0.266,384.15,1779.88,321.405,244.2,535.072,1365.657,0.0036,0.407
2008,9,-0.643,383.09,1795.08,321.529,244.083,535.048,1365.6647,0.0043,0.378
2008,10,-0.78,382.99,1814.18,321.796,244.08,534.927,1365.6759,0.0046,0.44
2008,11,-0.621,384.13,1812.37,322.013,244.225,534.906,1365.7065,0.0048,0.394
2008,12,-0.666,385.56,1812.88,322.182,244.204,535.005,1365.6926,0.0046,0.33
