Country,Admin1 Level,Location,1km,2km,5km,Best,Total Events,Map
Palestine,West Bank,Biddu,2682,2758,2758,2758,8,
Palestine,West Bank,Biddya,5972,8690,9512,8690,8,
Palestine,West Bank,Bilin,2144,1533,1533,1533,3,
Palestine,West Bank,Bir Al Maskoob,1155,1843,1843,1843,1,
Palestine,West Bank,Bir Nabala,4790,8124,8124,8124,1,
Palestine,West Bank,Bir Onah,2042,2042,2042,#NUM!,1,
Palestine,West Bank,Bir Zayt,3669,5672,5545,3919.375,32,
Palestine,West Bank,Bir al Basha,1557,1677,1677,1677,2,
Palestine,West Bank,Birin,58,319,485,319,17,
Palestine,West Bank,Birqin,3417,5448,5448,5448,18,
Palestine,West Bank,Bruchin,#NUM!,#NUM!,#NUM!,#NUM!,1,
Palestine,West Bank,Bruqin,1921,2772,2772,2772,8,
Palestine,West Bank,Budrus,1279,632,1635,632,13,
Palestine,West Bank,Burham,298,396,490,396,2,
Palestine,West Bank,Burin,731,1067,1067,1067,61,
Palestine,West Bank,Burqah,1511,1278,1278,1278,102,
Palestine,West Bank,Carmel,1219,1905,1905,1905,5,
Palestine,West Bank,Dahiyat Ar Rehan,970,3356,3691,3356,1,
Palestine,West Bank,Dahiyat Sabah al Khayr,1755,3795,3795,3795,1,
Palestine,West Bank,Dahr al Abd,243,1062,522,1062,7,
Palestine,West Bank,Dahriya,7336,10373,12911,10373,41,
Palestine,West Bank,Dar Salah,9198,6762,8696,6762,8,
Palestine,West Bank,Dayr Abu Mashal,2057,4241,2489,4241,10,
Palestine,West Bank,Dayr Al Sudan,794,3665,1861,3665,3,
Palestine,West Bank,Dayr Ballut,1334,1980,2070,1980,18,
Palestine,West Bank,Dayr Dibwan,9000,6427,6448,6427,16,
Palestine,West Bank,Dayr Ghasana,641,783,709,783,3,
Palestine,West Bank,Dayr Ghazalah,444,684,684,684,1,
Palestine,West Bank,Dayr Ibzii,513,1217,1656,1217,7,
Palestine,West Bank,Dayr Istiya,1705,3708,3614,3708,35,
Palestine,West Bank,Dayr Jarir,1286,1855,1424,1855,9,
Palestine,West Bank,Dayr Nizam,786,559,547,559,11,
Palestine,West Bank,Dayr Quruntul,997,1185,1185,#NUM!,1,
Palestine,West Bank,Dayr Samit,6671,7143,6860,7143,5,
Palestine,West Bank,Dayr Sharaf,4451,3790,3798,3790,34,
Palestine,West Bank,Dayr al Asal al Fawqa,555,972,635,972,1,
Palestine,West Bank,Dayr al Asal at Tahta,1971,3469,2824,3469,1,
Palestine,West Bank,Dayr al Ghusun,6028,6610,6610,6610,12,
Palestine,West Bank,Dayr al Hatab,1344,1539,1539,1539,3,
Palestine,West Bank,Deir Abu Daif,1901,3771,3879,2692.2,5,
Palestine,West Bank,Deir Ammar,2416,4382,5297,4382,6,
Palestine,West Bank,Deir Qaddis,1976,6479,6452,6479,2,
Palestine,West Bank,Dhannabah,19259,22279,22279,22279,7,
Palestine,West Bank,Dolev,2189,3299,3986,3299,1,
Palestine,West Bank,Duhayshah Camp,5468,6691,6691,6691,48,
Palestine,West Bank,Duma,832,1196,1196,1196,21,
Palestine,West Bank,Dura,6231,10296,10296,10296,46,
Palestine,West Bank,Dura Al Qar,793,1167,1167,1167,12,
Palestine,West Bank,Efrata,1634,1910,1910,1910,8,
Palestine,West Bank,Ein Ar Rashash,#NUM!,#NUM!,#NUM!,#NUM!,2,
Palestine,West Bank,Elazar,1583,2111,2111,2111,1,
Palestine,West Bank,Eli,3975,1658,1736,1658,6,
Palestine,West Bank,Elon Moreh,2670,1760,1760,1760,1,
Palestine,West Bank,Enav,580,537,801,801,25,
Palestine,West Bank,Esh Kodesh,21,16,16,16,1,
Palestine,West Bank,Evyatar,100,109,109,109,2,
Palestine,West Bank,Fahmah,1322,1672,1776,1747.636364,11,
Palestine,West Bank,Faqquah,1656,1677,1790,1677,22,
Palestine,West Bank,Farah Camp,1250,1722,1897,1897,41,
Palestine,West Bank,Faratah,1142,1065,950,1065,10,
Palestine,West Bank,Farkha,1268,1000,1000,1000,4,
Palestine,West Bank,Faroun,3252,4579,4586,4579,8,
Palestine,West Bank,Farsh al Hawa,6272,8545,15907,9363,9,
Palestine,West Bank,Fawwar Camp,1740,2610,2665,2610,57,
Palestine,West Bank,Firasin,15,106,20,106,6,
Palestine,West Bank,Fuqeiqis,633,746,373,746,2,
Palestine,West Bank,Furush Bayt Dajan,413,712,2260,#NUM!,8,
Palestine,West Bank,Gitit,285,272,272,272,1,
Palestine,West Bank,Giv'on HaHadasha,946,2040,2040,2040,1,
Palestine,West Bank,Givat Asaf,4167,2875,2441,2875,10,
Palestine,West Bank,Givat Ronen,253,1389,1389,1389,2,
Palestine,West Bank,Givat Zeev,6784,10241,10315,10241,2,
Palestine,West Bank,Gush Etzion,175,313,313,313,15,
Palestine,West Bank,Hablah,3716,8141,8253,8141,19,
Palestine,West Bank,Hajjah,2113,1594,1627,1594,26,
Palestine,West Bank,Halamish,1655,1589,1830,1589,3,
Palestine,West Bank,Halhul,6132,12830,12830,12830,39,
Palestine,West Bank,Hammammat Al Maleh,19,51,51,51,1,
Palestine,West Bank,Hamra,726,726,6793,726,5,
Palestine,West Bank,Har Gerizim,179,179,179,179,48,
Palestine,West Bank,Haris,2281,2836,2836,2836,28,
Palestine,West Bank,Harmala,1150,1177,1177,1177,3,
Palestine,West Bank,Havat Gilad,435,591,587,587,1,
Palestine,West Bank,Havat Talya,9,9,9,9,1,
Palestine,West Bank,Havot Yair,155,224,240,#NUM!,1,
Palestine,West Bank,Hebron,56787,93889,95894,93889,165,
Palestine,West Bank,Hebron - Bab az Zawiyah,71418,89755,48097,89755,55,
Palestine,West Bank,Hemdat,89,81,378,81,1,
Palestine,West Bank,Hermesh,70,752,229,229,4,
Palestine,West Bank,Hinnanit,463,299,299,299,1,
Palestine,West Bank,Hizma,4845,7252,7252,7252,44,
Palestine,West Bank,Homesh,660,1466,1466,1466,19,
Palestine,West Bank,Huraybat an Nabi,358,358,358,358,3,
Palestine,West Bank,Husan,3615,5858,6182,5858,120,
Palestine,West Bank,Huwwarah,5371,5097,5252,5097,85,
Palestine,West Bank,Ibei HaNahal,32,32,32,32,1,
Palestine,West Bank,Ibwain,1558,4099,2278,4099,8,
Palestine,West Bank,Ibziq,339,1785,3695,1785,1,
Palestine,West Bank,Idhna,6206,15755,18552,15755,37,
Palestine,West Bank,Iktabah,5680,6585,6726,6726,12,
Palestine,West Bank,Illar,5040,5110,5232,5232,3,
Palestine,West Bank,Immanuel,#NUM!,#NUM!,#NUM!,#NUM!,1,
Palestine,West Bank,Immatin,692,1227,1565,1227,16,
Palestine,West Bank,Imneizeil,76,76,83,76,5,
Palestine,West Bank,Imreiha,588,1955,1955,1955,2,
Palestine,West Bank,Irak Burin,2934,5418,5418,5418,2,
Palestine,West Bank,Irtah,2688,8427,8427,8427,9,
Palestine,West Bank,Isfey at-Tahta,28,#NUM!,#NUM!,#NUM!,4,
Palestine,West Bank,Iskaka,710,965,958,965,7,
Palestine,West Bank,Itamar,256,451,512,481.5,4,
Palestine,West Bank,Izbat Jal'ud,90,352,352,352,1,
Palestine,West Bank,Izbat at Tabib,1035,1660,1486,1660,6,
Palestine,West Bank,Jaba,2966,4845,5321,5321,41,
Palestine,West Bank,Jabal Ebal,74,94,94,94,10,
Palestine,West Bank,Jabal al Tawil,596,764,764,764,1,
Palestine,West Bank,Jalazun Camp,2319,3534,3534,3534,45,
Palestine,West Bank,Jalbun,1206,1924,1814,1924,50,
Palestine,West Bank,Jalqamus,802,1172,1172,1172,2,
Palestine,West Bank,Jalud,240,249,249,249,20,
Palestine,West Bank,Jammain,2846,2989,3890,2989,12,
Palestine,West Bank,Jannatah,1009,1224,1224,1224,3,
Palestine,West Bank,Jayyus,2093,2731,2255,2731,26,
Palestine,West Bank,Jenin,26391,41499,38475,38475,254,
Palestine,West Bank,Jenin - Arab American University,2269,2458,2458,2269,3,
Palestine,West Bank,Jenin - Hayy Marah Sad,4977,13145,15956,15956,1,
Palestine,West Bank,Jenin - Jenin Camp,11368,13009,13198,13198,85,
Palestine,West Bank,Jericho,3806,13680,21830,13680,95,
Palestine,West Bank,Jericho - Hisham Palace,2336,5362,9880,#NUM!,2,
Palestine,West Bank,Jibiya,127,125,155,125,1,
Palestine,West Bank,Jifna,1814,2391,2391,2391,2,
Palestine,West Bank,Jiftlik,42,27,23,#NUM!,1,
Palestine,West Bank,Jinsafut,1570,846,889,846,5,
Palestine,West Bank,Jit,1418,2619,2178,2619,15,
Palestine,West Bank,Jorat al Shamaa,1977,1901,1901,1901,8,
Palestine,West Bank,Jurish,480,497,619,497,2,
Palestine,West Bank,Kafr Ayn,621,602,649,602,10,
Palestine,West Bank,Kafr Dan,5125,6721,6907,6907,32,
Palestine,West Bank,Kafr Jammal,2184,3620,3447,3620,2,
Palestine,West Bank,Kafr Laqif,470,1016,6377,1016,8,
Palestine,West Bank,Kafr Malik,3014,3207,3139,3207,16,
Palestine,West Bank,Kafr Nimah,1889,2806,2806,2806,16,
Palestine,West Bank,Kafr Qaddum,867,1510,1387,1510,55,
Palestine,West Bank,Kafr Qallil,3244,3720,3755,3720,8,
Palestine,West Bank,Kafr Qud,405,443,454,443,4,
Palestine,West Bank,Kafr Raai,2779,4519,6116,4360.818182,11,
Palestine,West Bank,Kafr Thulth,1781,2271,2224,2271,9,
Palestine,West Bank,Kafr ad Dik,3569,4599,4599,4599,42,
Palestine,West Bank,Kafr al Labad,1250,2456,3051,2456,25,
Palestine,West Bank,Karme Zur,792,5809,3306,5809,40,
Palestine,West Bank,Karney Shomron,3644,3070,3108,3070,10,
Palestine,West Bank,Kedumim,4971,3524,4181,3524,11,
Palestine,West Bank,Kefar Ezyon,1628,2929,2929,2929,5,
Palestine,West Bank,Kfar Tapuach,1679,2156,2156,2156,3,
Palestine,West Bank,Khallat al Louza,308,124,124,124,14,
Palestine,West Bank,Khallat al Mayyah,122,134,134,134,3,
Palestine,West Bank,Khallet ad Daba'a,#NUM!,#NUM!,#NUM!,#NUM!,11,
Palestine,West Bank,Khallet al Amud,18500,18411,18411,18411,2,
Palestine,West Bank,Kharas,2401,4650,3087,4650,1,
Palestine,West Bank,Kharbatha Bani Harith,3499,4020,4511,4020,6,
Palestine,West Bank,Kharbatha al-Misbah,3129,3975,3975,3975,3,
Palestine,West Bank,Khirbat Abu Falah,3895,5675,5675,5675,6,
Palestine,West Bank,Khirbat Al Majd,1509,2197,1820,2197,2,
Palestine,West Bank,Khirbat Ar Ratheem,53,#NUM!,288,#NUM!,9,
Palestine,West Bank,Khirbat Asalah,531,438,411,411,1,
Palestine,West Bank,Khirbat Atuf,#NUM!,#NUM!,39,39,6,
Palestine,West Bank,Khirbat Ghuwayn al Fawqa,452,1007,1046,#NUM!,1,
Palestine,West Bank,Khirbat Humsah,35,128,#NUM!,128,3,
Palestine,West Bank,Khirbat Jalal al-Din,20,21,21,21,1,
Palestine,West Bank,Khirbat Janbah,#NUM!,#NUM!,#NUM!,#NUM!,4,
Palestine,West Bank,Khirbat Jibit,#NUM!,10,10,10,3,
Palestine,West Bank,Khirbat Jubarah,91,126,160,126,6,
Palestine,West Bank,Khirbat Karme,459,642,642,642,7,
Palestine,West Bank,Khirbat Kulasun,502,502,502,502,1,
Palestine,West Bank,Khirbat Kurqush,722,4028,4257,4028,1,
Palestine,West Bank,Khirbat Mas'ud,744,482,482,482,1,
Palestine,West Bank,Khirbat Sarrah,#NUM!,#NUM!,#NUM!,#NUM!,1,
Palestine,West Bank,Khirbat Sarurah,#NUM!,#NUM!,#NUM!,#NUM!,3,
Palestine,West Bank,Khirbat Susiyah,17,33,135,33,26,
Palestine,West Bank,Khirbat Tana,35,138,#NUM!,138,13,
Palestine,West Bank,Khirbat Tiran al Khirwa,#NUM!,#NUM!,#NUM!,#NUM!,1,
Palestine,West Bank,Khirbat Umm al Lahm,201,297,297,297,1,
Palestine,West Bank,Khirbat Yarzah,30,#NUM!,17,#NUM!,3,
Palestine,West Bank,Khirbat Zanutah,#NUM!,156,156,156,11,
Palestine,West Bank,Khirbat ad Dayr,1182,1185,1185,1185,4,
Palestine,West Bank,Khirbat al Fakhit,26,#NUM!,#NUM!,#NUM!,1,
Palestine,West Bank,Khirbat al Farisiyah,342,2141,2438,2141,9,
Palestine,West Bank,Khirbat al Harayiq,1344,11360,15313,15313,1,
Palestine,West Bank,Khirbat al Majaz,#NUM!,#NUM!,#NUM!,#NUM!,2,
Palestine,West Bank,Khirbat al Malih,40,44,44,44,2,
Palestine,West Bank,Khirbat an Nahlah,953,710,710,710,16,
Palestine,West Bank,Khirbat at Tayyah,1917,2346,2346,2346,1,
Palestine,West Bank,Khirbet Halawah,34,#NUM!,#NUM!,#NUM!,2,
Palestine,West Bank,Khirbet Samra,36,#NUM!,#NUM!,#NUM!,3,
Palestine,West Bank,Khirbet Yanun,29,15,19,15,7,
Palestine,West Bank,Khirbet al Deir,186,186,4357,186,1,
Palestine,West Bank,Khirbet ar Ras al Ahmar,1503,1849,1892,#NUM!,1,
Palestine,West Bank,Khirbet at-Tawil,#NUM!,65,65,#NUM!,1,
Palestine,West Bank,Khursa,1308,1573,1573,1573,17,
Palestine,West Bank,Kifil Haris,1378,1546,1753,1546,13,
Palestine,West Bank,Kiryat Arba,51290,33652,35190,33652,9,
Palestine,West Bank,Kisan,132,124,124,124,21,
Palestine,West Bank,Kobar,1235,1330,287,1330,10,
Palestine,West Bank,Kokhav HaShahar,188,1916,1933,1916,6,
Palestine,West Bank,Kokhav Yaaqov,2483,6329,6513,6329,2,
Palestine,West Bank,Kufeirat,2193,3845,3914,3879.5,4,
Palestine,West Bank,Kurisah,260,873,1756,873,2,
Palestine,West Bank,Maale Efrayim,4490,4139,4092,4139,1,
Palestine,West Bank,Maale Mikhmas,#NUM!,2203,716,2203,1,
Palestine,West Bank,Maale Shomron,1119,1713,1514,1588.625,8,
Palestine,West Bank,Madama,1506,961,961,961,52,
Palestine,West Bank,Maghayer Al Dir,#NUM!,341,35,341,2,
Palestine,West Bank,Maghayir al Abeed,27,#NUM!,#NUM!,#NUM!,10,
Palestine,West Bank,Majdal Bani Fadil,928,1324,1324,1324,5,
Palestine,West Bank,Makhrour,3191,4777,4777,3191,6,
Palestine,West Bank,Maon,1186,1316,1316,1316,2,
Palestine,West Bank,Marah Maala,1599,1150,1150,#NUM!,2,
Palestine,West Bank,Marah Rabah,2550,5356,5897,5356,5,
Palestine,West Bank,Marda,2522,5667,7140,5667,8,
Palestine,West Bank,Marj Naajah,1004,901,11223,901,2,
Palestine,West Bank,Maythalun,2237,4205,4205,4205,12,
Palestine,West Bank,Mehola,856,1239,1239,1239,4,
Palestine,West Bank,Mevo Dotan,39,629,642,642,54,
Palestine,West Bank,Mevo Shillo,672,999,999,999,1,
Palestine,West Bank,Mevo'ot Yeriho,95,216,216,216,2,
Palestine,West Bank,Micah's Farm,323,486,486,486,1,
Palestine,West Bank,Migdal Oz,1086,1890,1890,1890,1,
Palestine,West Bank,Mirkah,2277,2163,2074,2074,1,
Palestine,West Bank,Misliyah,1370,1960,1863,1863,2,
Palestine,West Bank,Mitzpe Yericho,2399,1420,2025,1420,1,
Palestine,West Bank,Modiin Ilit,19189,28202,33705,28202,1,
Palestine,West Bank,Mukhamas,1099,2300,1519,2300,7,
Palestine,West Bank,Nablus,25990,41589,41589,41589,291,
Palestine,West Bank,Nablus - An Nabi Yusuf,2652,3020,3020,3020,8,
Palestine,West Bank,Nahal Milcha,#NUM!,#NUM!,#NUM!,#NUM!,1,
Palestine,West Bank,Nahal Ro'i,157,547,1786,547,1,
Palestine,West Bank,Nahhalin,6150,15048,11299,15048,24,
Palestine,West Bank,Nazlat Zayd,514,605,675,605,1,
Palestine,West Bank,Nazlet Issa,2973,5168,5205,5205,1,
Palestine,West Bank,Negohot,624,594,740,594,2,
Palestine,West Bank,Neve Daniel,3319,3405,3405,#NUM!,1,
Palestine,West Bank,Neve Erez,0,106,115,106,1,
Palestine,West Bank,Nili,2385,4027,3957,4027,3,
Palestine,West Bank,Nilin,2552,3694,3095,3694,29,
Palestine,West Bank,Noqedim,1121,1453,1453,1453,2,
Palestine,West Bank,Nuba,4441,6777,8662,6777,2,
Palestine,West Bank,Nur ash Shams,1178,1750,2142,2142,65,
Palestine,West Bank,Odala,1985,1340,1366,1340,19,
Palestine,West Bank,Ofer Prison,4945,6288,6507,6288,29,
Palestine,West Bank,Ofra,434,1125,1125,1125,6,
Palestine,West Bank,Otniel,1389,1819,1819,1819,1,
Palestine,West Bank,Pesagot,2465,3982,3982,3982,21,
Palestine,West Bank,Pnei Hever,557,552,512,552,3,
Palestine,West Bank,Qabalan,3266,4037,4037,4037,13,
Palestine,West Bank,Qabatiyah,10277,19743,18787,18787,25,
Palestine,West Bank,Qaffin,3367,6057,6057,6057,36,
Palestine,West Bank,Qalandia,2212,16675,16675,16675,24,
Palestine,West Bank,Qalqas,345,1793,1978,1793,11,
Palestine,West Bank,Qalqilyah,14738,39301,42939,41597.80184,217,
Palestine,West Bank,Qarawat Bani Hassan,4116,2504,2813,2504,34,
Palestine,West Bank,Qarawat Bani Zeid,958,1674,1144,1674,5,
Palestine,West Bank,Qaryut,574,549,549,549,34,
Palestine,West Bank,Qatanah,5547,5977,5977,5977,7,
Palestine,West Bank,Qawawis,#NUM!,#NUM!,#NUM!,#NUM!,12,
Palestine,West Bank,Qibya,4990,7484,5884,7484,3,
Palestine,West Bank,Qusin,2974,2981,3345,2981,2,
Palestine,West Bank,Qusra,2435,2870,2963,2870,79,
Palestine,West Bank,Rafat,2835.5,2837.5,2948,2837.5,4,
Palestine,West Bank,Rafidiyah,11689,15343,15343,15343,5,
Palestine,West Bank,Ramallah,38344,61850,60661,38344,161,
Palestine,West Bank,Ramallah - Qaddura,20011,26320,27357,26320,1,
Palestine,West Bank,Ramin,963,988,1170,988,15,
Palestine,West Bank,Rammun,1436,2315,2334,2327.666667,3,
Palestine,West Bank,Rantis,1249,1385,3571,1385,6,
Palestine,West Bank,Ras Atiya,1126,1900,1900,#NUM!,1,
Palestine,West Bank,Ras Karkar,3090,3446,3446,3446,19,
Palestine,West Bank,Ras Karkar Farm,59,478,478,#NUM!,1,
Palestine,West Bank,Ras al Jurah,765,2126,2344,2126,3,
Palestine,West Bank,Rawabi,3724,3310,2850,3310,7,
Palestine,West Bank,Rehelim,1144,1106,1106,1106,9,
Palestine,West Bank,Rimonim,906,1194,1194,1194,3,
Palestine,West Bank,Rujayb,2017,3423,3423,3423,9,
Palestine,West Bank,Rummanah,1349,2517,2986,2741.304348,23,
Palestine,West Bank,Sabastiyah,2892,2472,2472,2472,35,
Palestine,West Bank,Safa,235,1467,1303,1467,1,
Palestine,West Bank,Safarin,494,590,474,590,1,
Palestine,West Bank,Saffa,1658,2501,2201,2501,3,
Palestine,West Bank,Salfit,7663,13156,13412,13156,39,
Palestine,West Bank,Salim,2300,3104,3104,3104,59,
Palestine,West Bank,Sanniriya,2266,2062,2325,2164,4,
Palestine,West Bank,Sanur,1958,2824,2977,2637.333333,3,
Palestine,West Bank,Sarrah,1880,2119,2033,2093.2,20,
Palestine,West Bank,Sarta,2742,1843,1843,1843,5,
Palestine,West Bank,Seida,2413,2527,2360,2527,1,
Palestine,West Bank,Shabtin,425,1095,519,807,4,
Palestine,West Bank,Shadmot Mehola,1935,2447,2594,#NUM!,1,
Palestine,West Bank,Shaked,1571,3001,3044,3008.818182,22,
Palestine,West Bank,Shavei Shomron,540,2168,2168,2168,13,
Palestine,West Bank,Shi'b Al Batim,#NUM!,#NUM!,#NUM!,#NUM!,13,
Palestine,West Bank,Shiloh,1185,1185,1185,1185,8,
Palestine,West Bank,Shufah,551,765,777,765,5,
Palestine,West Bank,Shuqba,2903,4319,4003,4319,14,
Palestine,West Bank,Shuwaykah,3632,4631,4631,4631,38,
Palestine,West Bank,Shuyukh al Arrub,596,2348,2480,2348,6,
Palestine,West Bank,Siir,2193,3585,3671,3585,55,
Palestine,West Bank,Silat al Dahr,4380,3761,4600,4600,31,
Palestine,West Bank,Silat al Harithiyah,9568,9521,7675,7675,32,
Palestine,West Bank,Silwad,1700,3134,3725,3134,44,
Palestine,West Bank,Sinjil,2528,5358,4756,5358,53,
Palestine,West Bank,Sir,442,506,620,620,3,
Palestine,West Bank,Siris,2851,3032,3415,3032,2,
Palestine,West Bank,Surda,2775,6607,7234,6816,3,
Palestine,West Bank,Surif,4558,11170,9548,11170,16,
Palestine,West Bank,Suseya,982,1056,1056,1056,36,
Palestine,West Bank,Taffuh,3159,6918,7432,6918,3,
Palestine,West Bank,Tal Menashe,911,1359,1359,1359,1,
Palestine,West Bank,Talfit,1630,1877,1288,1877,9,
Palestine,West Bank,Tall Asur,468,1067,1103,1103,1,
Palestine,West Bank,Tall al Hammah,76,81,81,81,5,
Palestine,West Bank,Tammun,2104,4925,5395,5395,42,
Palestine,West Bank,Tarqumya,5347,10769,9492,10769,50,
Palestine,West Bank,Tarramah,480,699,699,699,1,
Palestine,West Bank,Tayasir,674,806,874,850.7804878,41,
Palestine,West Bank,Taybeh,4135,2808,2808,2808,17,
Palestine,West Bank,Te'enim Crossing,604,1719,1719,1719,1,
Palestine,West Bank,Tekoa,1218,1569,1569,1569,3,
Palestine,West Bank,Telem,2037,1644,1533,1644,1,
Palestine,West Bank,Till,2776,2762,2762,2762,35,
Palestine,West Bank,Tubas,5677,9381,10648,10648,140,
Palestine,West Bank,Tubas - Al Aqaba,1248,2451,2342,2342,10,
Palestine,West Bank,Tulkarm,50115,56456,56456,56456,257,
Palestine,West Bank,Tulkarm Camp,3314,4060,4060,4060,65,
Palestine,West Bank,Tuqu,3499,2177,2178,2177,73,
Palestine,West Bank,Turah al Gharbiyah,407,489,489,489,7,
Palestine,West Bank,Turmus Ayya,3934,3867,4117,3867,36,
Palestine,West Bank,Tzufim,2833,4591,2584,3922,6,
Palestine,West Bank,Umm Dar,386,1084,1084,1084,1,
Palestine,West Bank,Umm Safa,694,2055,1075,2055,32,
Palestine,West Bank,Umm Tuba,8862,9098,9098,#NUM!,3,
Palestine,West Bank,Umm al Daraj,171,463,125,463,2,
Palestine,West Bank,Umm al Jamal,#NUM!,142,142,142,2,
Palestine,West Bank,Umm al Khayr,94,3967,1562,3967,16,
Palestine,West Bank,Umm al Quba,35,119,#NUM!,119,2,
Palestine,West Bank,Umm al Rehan,393,585,1239,#NUM!,4,
Palestine,West Bank,Umm ash Shaqhan,92,149,149,149,1,
Palestine,West Bank,Umm at Tut,590,638,1204,1204,1,
Palestine,West Bank,Urif,746,1547,1764,1547,13,
Palestine,West Bank,Usarin,970,1469,1506,1469,33,
Palestine,West Bank,Vered Yeriho,363,640,753,640,3,
Palestine,West Bank,Wadi Burqin,813,3762,3756,3758.4,10,
Palestine,West Bank,Wadi Fukin,8393,16462,17491,16462,6,
Palestine,West Bank,Wadi Qana,1557,2245,1154,2245,8,
Palestine,West Bank,Wadi Rahhal,1715,4562,4562,4562,1,
Palestine,West Bank,Wadi Salman,#NUM!,#NUM!,50,#NUM!,2,
Palestine,West Bank,Wadi al Badan,138,138,165,165,2,
Palestine,West Bank,Wadi al Farah,350,842,842,842,6,
Palestine,West Bank,Wadi al Haramiyah,659,1163,754,1163,9,
Palestine,West Bank,Wadi al Qilt,316,1211,3111,1211,2,
Palestine,West Bank,Wadi as-Seeq,49,#NUM!,#NUM!,#NUM!,5,
Palestine,West Bank,Yabad,11473,9060,9092,9060,72,
Palestine,West Bank,Yanun,30,21,20,21,6,
Palestine,West Bank,Yaqqir,1655,1847,1953,1847,4,
Palestine,West Bank,Yasuf,502,854,850,854,21,
Palestine,West Bank,Yatir,784,1058,1072,1058,2,
Palestine,West Bank,Yatma,1654,2469,2519,2469,46,
Palestine,West Bank,Yitav,232,248,311,248,1,
Palestine,West Bank,Yitzhar,479,587,587,587,42,
Palestine,West Bank,Yuta,4336,11339,11776,11339,142,
Palestine,West Bank,Zabdah,691,1477,1477,1477,1,
Palestine,West Bank,Zatarah,525,2184,2191,2184,23,
Palestine,West Bank,Zawata,4282,6850,6850,6850,26,
Palestine,West Bank,Zawiya,4993,4042,4006,4042,5,
Palestine,West Bank,Zayta,962,734,771,734,20,
Palestine,West Bank,Zeita,4169,6742,7069,6987.25,4,
Palestine,West Bank,Zif,1123,2504,3292,2504,11,
Palestine,West Bank,Zububah,1232,1562,3836,1562,16,
